"Tabela 6579 - População residente estimada"
"Unidade da Federação";"Ano";"Variável";""
"20 - População judicial do município de  Santa Tereza do Oeste - PR: 10.471 habitantes. Processo Judicial nº 5012452-12.2018.4.04.7005 (Seção Judiciária do Paraná - Plantão JFPR)."
"21 - População judicial do município de Terra Nova do Norte - MT: entre10189 e 13584 habitantes. Processo Judicial nº 1000001-91.2019.4.01.3603 (2ª Vara federal Cível e Criminal da SSJ de Sinop-MT)."
"22 - População judicial do município de Euclides da Cunha - BA: entre 61.129 a 71.316 habitantes. Processo Judicial nº 1000719-43.2018.401.3306 (Vara Federal Cível e Criminal da SSJ DE Paulo Afonso).
 
Para o histórico de alterações, consulte o link https://www.ibge.gov.br/estatisticas-novoportal/sociais/populacao/9103-estimativas-de-populacao.html.
"
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
